feature,direction,total_top3_hits,possible_top3_hits,top3_capture_rate,races_with_3_of_3,races_with_2plus_of_3,races_tested,winner_hits,winner_races_tested,winner_hit_rate,winner_rank_total,mean_winner_rank,winner_top3_hits,winner_top3_rate
recent_barrier_percentile_avg_3,DESC,22,75,0.29333333333333333,1,3,25,2,25,0.08,150,6.0,8,0.32
recent_2_barrier,DESC,22,75,0.29333333333333333,0,5,25,1,25,0.04,176,7.04,4,0.16
trackFamiliarity,ASC,14,48,0.2916666666666667,0,1,16,2,16,0.125,112,7.0,5,0.3125
sectional_average_6,DESC,19,66,0.2878787878787879,0,3,22,1,22,0.045454545454545456,120,5.454545454545454,9,0.4090909090909091
secondUpWinner,DESC,18,63,0.2857142857142857,1,2,21,1,21,0.047619047619047616,142,6.761904761904762,5,0.23809523809523808
recent_6_place,DESC,23,81,0.2839506172839506,1,6,27,2,27,0.07407407407407407,152,5.62962962962963,10,0.37037037037037035
recent_2_place,DESC,23,81,0.2839506172839506,1,3,27,1,27,0.037037037037037035,149,5.518518518518518,10,0.37037037037037035
fluc1,ASC,23,81,0.2839506172839506,0,6,27,0,27,0.0,196,7.2592592592592595,0,0.0
fluc1_price_rank,ASC,23,81,0.2839506172839506,0,6,27,0,27,0.0,196,7.2592592592592595,0,0.0
fluc2,ASC,23,81,0.2839506172839506,0,6,27,0,27,0.0,198,7.333333333333333,0,0.0
fluc2_price_rank,ASC,23,81,0.2839506172839506,0,6,27,0,27,0.0,198,7.333333333333333,0,0.0
race_consensus_rank,ASC,23,81,0.2839506172839506,0,6,27,0,27,0.0,202,7.481481481481482,1,0.037037037037037035
race_consensus_score,ASC,23,81,0.2839506172839506,0,6,27,0,27,0.0,202,7.481481481481482,1,0.037037037037037035
recent3_vs_career_place_rate,DESC,23,81,0.2839506172839506,0,6,27,2,27,0.07407407407407407,184,6.814814814814815,6,0.2222222222222222
recent_form_vs_career_form,DESC,23,81,0.2839506172839506,0,6,27,2,27,0.07407407407407407,184,6.814814814814815,6,0.2222222222222222
track_win_rate_rank,ASC,23,81,0.2839506172839506,0,6,27,1,27,0.037037037037037035,184,6.814814814814815,4,0.14814814814814814
historical_market_overperformance_avg_6,DESC,23,81,0.2839506172839506,0,5,27,3,27,0.1111111111111111,190,7.037037037037037,6,0.2222222222222222
prize_money,ASC,23,81,0.2839506172839506,0,5,27,2,27,0.07407407407407407,184,6.814814814814815,9,0.3333333333333333
prize_money_rank,DESC,23,81,0.2839506172839506,0,5,27,2,27,0.07407407407407407,184,6.814814814814815,9,0.3333333333333333
recent_3_distance_m,DESC,23,81,0.2839506172839506,0,5,27,2,27,0.07407407407407407,153,5.666666666666667,11,0.4074074074074074
trainer_recent_top3_excess,DESC,23,81,0.2839506172839506,0,5,27,3,27,0.1111111111111111,176,6.518518518518518,8,0.2962962962962963
distance_change_last_run,ASC,23,81,0.2839506172839506,0,4,27,3,27,0.1111111111111111,181,6.703703703703703,7,0.25925925925925924
distance_change_pct_last_run,ASC,23,81,0.2839506172839506,0,4,27,3,27,0.1111111111111111,181,6.703703703703703,7,0.25925925925925924
historical_run_quality_slope_3,DESC,23,81,0.2839506172839506,0,4,27,1,27,0.037037037037037035,182,6.7407407407407405,6,0.2222222222222222
recent_1_distance_m,DESC,23,81,0.2839506172839506,0,4,27,3,27,0.1111111111111111,181,6.703703703703703,7,0.25925925925925924
recent_2_total_runners,DESC,23,81,0.2839506172839506,0,4,27,0,27,0.0,190,7.037037037037037,1,0.037037037037037035
recent_4_distance_m,ASC,23,81,0.2839506172839506,0,4,27,2,27,0.07407407407407407,164,6.074074074074074,6,0.2222222222222222
recent_days_since_last_run,DESC,23,81,0.2839506172839506,0,4,27,3,27,0.1111111111111111,171,6.333333333333333,9,0.3333333333333333
recent_avg_margin,ASC,23,81,0.2839506172839506,0,3,27,0,27,0.0,189,7.0,4,0.14814814814814814
historical_step_up_observations,DESC,23,81,0.2839506172839506,0,2,27,4,27,0.14814814814814814,160,5.925925925925926,9,0.3333333333333333
same_track_distance_runs,ASC,22,78,0.28205128205128205,1,5,26,3,26,0.11538461538461539,176,6.769230769230769,6,0.23076923076923078
condition_win_rate_smoothed,DESC,22,78,0.28205128205128205,0,6,26,0,26,0.0,207,7.961538461538462,0,0.0
last3_win_percentage,DESC,22,78,0.28205128205128205,0,5,26,0,26,0.0,176,6.769230769230769,5,0.19230769230769232
last3_win_percentage_rank,ASC,22,78,0.28205128205128205,0,5,26,0,26,0.0,176,6.769230769230769,5,0.19230769230769232
condition_finish_percentile,DESC,22,78,0.28205128205128205,0,3,26,1,26,0.038461538461538464,195,7.5,3,0.11538461538461539
goodGroundPro,ASC,16,57,0.2807017543859649,0,3,19,3,19,0.15789473684210525,113,5.947368421052632,5,0.2631578947368421
recent_1_barrier,ASC,21,75,0.28,0,6,25,0,25,0.0,155,6.2,6,0.24
distance_step_down_m,ASC,21,75,0.28,0,5,25,0,25,0.0,169,6.76,7,0.28
distance_step_down_pct,ASC,21,75,0.28,0,5,25,0,25,0.0,169,6.76,7,0.28
recent_6_barrier,DESC,21,75,0.28,0,5,25,3,25,0.12,175,7.0,7,0.28
recent_same_track_runs,DESC,21,75,0.28,0,3,25,0,25,0.0,173,6.92,8,0.32
best_finish_percentile_at_stronger_class,DESC,18,66,0.2727272727272727,0,4,22,2,22,0.09090909090909091,161,7.318181818181818,4,0.18181818181818182
class_adjusted_margin_quality_weighted_6,DESC,18,66,0.2727272727272727,0,3,22,2,22,0.09090909090909091,145,6.590909090909091,3,0.13636363636363635
performance_at_current_or_stronger_class,DESC,18,66,0.2727272727272727,0,3,22,2,22,0.09090909090909091,155,7.045454545454546,4,0.18181818181818182
recent_last600_avg_3,ASC,18,66,0.2727272727272727,0,3,22,3,22,0.13636363636363635,127,5.7727272727272725,6,0.2727272727272727
recent_finish_percentile_std_6,ASC,22,81,0.2716049382716049,1,6,27,2,27,0.07407407407407407,171,6.333333333333333,6,0.2222222222222222
recent_margin_std_6,ASC,22,81,0.2716049382716049,1,4,27,1,27,0.037037037037037035,183,6.777777777777778,4,0.14814814814814814
historical_market_overperformance_slope_3,DESC,22,81,0.2716049382716049,1,3,27,2,27,0.07407407407407407,172,6.37037037037037,6,0.2222222222222222
form_consistency_finish_percentile_6,ASC,22,81,0.2716049382716049,0,6,27,3,27,0.1111111111111111,185,6.851851851851852,6,0.2222222222222222
market_price_range_pct,ASC,22,81,0.2716049382716049,0,6,27,0,27,0.0,187,6.925925925925926,3,0.1111111111111111
recent_3_total_runners,ASC,22,81,0.2716049382716049,0,6,27,3,27,0.1111111111111111,179,6.62962962962963,5,0.18518518518518517
second_up_win_rate_rank,DESC,22,81,0.2716049382716049,0,6,27,3,27,0.1111111111111111,167,6.185185185185185,9,0.3333333333333333
soft_starts,ASC,22,81,0.2716049382716049,0,6,27,2,27,0.07407407407407407,164,6.074074074074074,7,0.25925925925925924
jockey_trainer_recent_top3_excess,DESC,22,81,0.2716049382716049,0,5,27,3,27,0.1111111111111111,165,6.111111111111111,6,0.2222222222222222
race_overlay_rank,DESC,22,81,0.2716049382716049,0,5,27,3,27,0.1111111111111111,146,5.407407407407407,9,0.3333333333333333
race_overlay_score,ASC,22,81,0.2716049382716049,0,5,27,3,27,0.1111111111111111,146,5.407407407407407,9,0.3333333333333333
recent_6_distance_m,ASC,22,81,0.2716049382716049,0,5,27,3,27,0.1111111111111111,173,6.407407407407407,6,0.2222222222222222
recent_best_similar_distance_speed_mps,DESC,22,81,0.2716049382716049,0,5,27,4,27,0.14814814814814814,177,6.555555555555555,7,0.25925925925925924
recent_similar_distance_speed_rank,ASC,22,81,0.2716049382716049,0,5,27,4,27,0.14814814814814814,177,6.555555555555555,7,0.25925925925925924
recent_weighted_avg_weight_kg,ASC,22,81,0.2716049382716049,0,5,27,3,27,0.1111111111111111,172,6.37037037037037,10,0.37037037037037035
track_wins,DESC,22,81,0.2716049382716049,0,5,27,2,27,0.07407407407407407,175,6.481481481481482,7,0.25925925925925924
market_open_to_fluc2_move_pct,ASC,22,81,0.2716049382716049,0,4,27,0,27,0.0,198,7.333333333333333,4,0.14814814814814814
market_steam_rank,ASC,22,81,0.2716049382716049,0,4,27,0,27,0.0,198,7.333333333333333,4,0.14814814814814814
recent_2_weight_kg,DESC,22,81,0.2716049382716049,0,4,27,2,27,0.07407407407407407,196,7.2592592592592595,3,0.1111111111111111
recent_4_place,ASC,22,81,0.2716049382716049,0,4,27,2,27,0.07407407407407407,168,6.222222222222222,7,0.25925925925925924
recent_4_weight_kg,DESC,22,81,0.2716049382716049,0,4,27,5,27,0.18518518518518517,147,5.444444444444445,11,0.4074074074074074
recent_6_starting_price,ASC,22,81,0.2716049382716049,0,4,27,1,27,0.037037037037037035,187,6.925925925925926,3,0.1111111111111111
recent_margin_last_minus_avg3,ASC,22,81,0.2716049382716049,0,4,27,4,27,0.14814814814814814,168,6.222222222222222,9,0.3333333333333333
recent_margin_slope_3,ASC,22,81,0.2716049382716049,0,4,27,3,27,0.1111111111111111,180,6.666666666666667,7,0.25925925925925924
weight_change_vs_recent_weighted_avg,DESC,22,81,0.2716049382716049,0,4,27,2,27,0.07407407407407407,181,6.703703703703703,9,0.3333333333333333
market_fluc1_to_fluc2_move_pct,DESC,22,81,0.2716049382716049,0,3,27,3,27,0.1111111111111111,139,5.148148148148148,12,0.4444444444444444
recent_6_weight_kg,DESC,22,81,0.2716049382716049,0,3,27,2,27,0.07407407407407407,174,6.444444444444445,8,0.2962962962962963
same_track_runs,DESC,22,81,0.2716049382716049,0,3,27,0,27,0.0,179,6.62962962962963,9,0.3333333333333333
current_weight_minus_recent_avg,ASC,22,81,0.2716049382716049,0,2,27,4,27,0.14814814814814814,173,6.407407407407407,8,0.2962962962962963
weight_change_vs_recent_avg,ASC,22,81,0.2716049382716049,0,2,27,4,27,0.14814814814814814,173,6.407407407407407,8,0.2962962962962963
class_change_last_run,DESC,17,63,0.2698412698412698,1,3,21,2,21,0.09523809523809523,159,7.571428571428571,4,0.19047619047619047
recent_barrier_percentile_std_6,ASC,20,75,0.26666666666666666,1,4,25,4,25,0.16,159,6.36,8,0.32
recent_3_barrier,ASC,20,75,0.26666666666666666,0,6,25,3,25,0.12,177,7.08,7,0.28
recent_5_barrier,ASC,20,75,0.26666666666666666,0,5,25,1,25,0.04,179,7.16,4,0.16
