member,Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
1,96,25,96-25,Leaf,,,,,0.00365981576,269.711304,
1,96,26,96-26,Leaf,,,,,-0.00284944824,265.079437,
1,96,27,96-27,Leaf,,,,,-0.0039651501,1385.0166,
1,96,28,96-28,Leaf,,,,,-0.000696083822,5061.00342,
1,96,29,96-29,Leaf,,,,,0.00200709235,1452.97412,
1,96,30,96-30,Leaf,,,,,-0.000982446363,812.221313,
1,97,0,97-0,recent_finish_percentile_weighted_3_minus_race_mean,-0.155434132,97-1,97-2,97-2,43.7788086,28042.5156,
1,97,1,97-1,jockey_history_top3_excess,0.0413679108,97-3,97-4,97-3,20.8986931,2432.46362,
1,97,2,97-2,recent_last600_best_3,35.1800003,97-5,97-6,97-6,28.8624096,25610.0508,
1,97,3,97-3,current_weight_change_pct,0.00840336177,97-7,97-8,97-8,5.83740616,1562.14233,
1,97,4,97-4,recent_3_distance_m,925.0,97-9,97-10,97-9,7.85890532,870.321289,
1,97,5,97-5,recent_finish_percentile_weighted_3_minus_race_mean,0.261309385,97-11,97-12,97-12,36.2148743,14378.2598,
1,97,6,97-6,jockey_trainer_history_smoothed_top3_rate_gap_to_best,0.277777761,97-13,97-14,97-13,20.1713562,11231.792,
1,97,7,97-7,recent_margin_std_6,3.63574839,97-15,97-16,97-15,4.03648758,647.780762,
1,97,8,97-8,prize_money_rank,2.0,97-17,97-18,97-18,6.37298965,914.361511,
1,97,9,97-9,recent_margin_std_6,2.72470188,97-19,97-20,97-20,5.62914181,148.375076,
1,97,10,97-10,current_weight_change_pct,-0.0178571437,97-21,97-22,97-21,8.85599136,721.946228,
1,97,11,97-11,good_starts,15.0,97-23,97-24,97-24,28.3005352,11301.4639,
1,97,12,97-12,good_starts,6.0,97-25,97-26,97-26,28.1644096,3076.79565,
1,97,13,97-13,jockey_history_top3_excess,0.103238627,97-27,97-28,97-27,14.7597647,10964.9863,
1,97,14,97-14,recent_3_distance_m,1625.0,97-29,97-30,97-29,11.1327648,266.805023,
1,97,15,97-15,Leaf,,,,,-0.00482151425,381.198364,
1,97,16,97-16,Leaf,,,,,-0.00916133914,266.582428,
1,97,17,97-17,Leaf,,,,,0.0011076848,149.199326,
1,97,18,97-18,Leaf,,,,,-0.00443832669,765.16217,
1,97,19,97-19,Leaf,,,,,0.00985733792,66.6677246,
1,97,20,97-20,Leaf,,,,,0.000304591231,81.7073517,
1,97,21,97-21,Leaf,,,,,-0.00580599811,179.731125,
1,97,22,97-22,Leaf,,,,,0.000454032299,542.215088,
1,97,23,97-23,Leaf,,,,,0.000961908605,9504.17383,
1,97,24,97-24,Leaf,,,,,-0.0024503856,1797.29065,
1,97,25,97-25,Leaf,,,,,0.00562001951,1698.24915,
1,97,26,97-26,Leaf,,,,,0.000803880219,1378.54663,
1,97,27,97-27,Leaf,,,,,-0.000748208084,9909.21094,
1,97,28,97-28,Leaf,,,,,0.00234723999,1055.77515,
1,97,29,97-29,Leaf,,,,,-0.00990753528,207.802383,
1,97,30,97-30,Leaf,,,,,0.00196155976,59.0026512,
1,98,0,98-0,recent_finish_percentile_weighted_3_minus_race_mean,0.0178551674,98-1,98-2,98-1,44.6832657,27822.0195,
1,98,1,98-1,jockey_history_top3_excess,-0.114671513,98-3,98-4,98-4,18.8786888,8489.55762,
1,98,2,98-2,prize_money_rank,5.0,98-5,98-6,98-6,26.5173302,19332.4629,
1,98,3,98-3,trainer_history_top3_excess,0.0477572158,98-7,98-8,98-7,1.63610268,113.594658,
1,98,4,98-4,jockey_recent_top3_excess,0.113599494,98-9,98-10,98-9,15.9332314,8375.96289,
1,98,5,98-5,good_starts,17.0,98-11,98-12,98-12,20.6175156,9248.65039,
1,98,6,98-6,jockey_recent_top3_excess,0.0556740984,98-13,98-14,98-14,20.1815434,10083.8115,
1,98,7,98-7,jockey_trainer_history_smoothed_top3_rate_gap_to_best,0.130247921,98-15,98-16,98-16,2.69382095,101.405144,
1,98,8,98-8,Leaf,,,,,-0.0010449558,12.189518,
1,98,9,98-9,recent_weighted_win_rate_rank,5.0,98-17,98-18,98-18,16.0763321,6664.58301,
1,98,10,98-10,recent_last600_best_3,33.7999992,98-19,98-20,98-20,12.9815006,1711.38,
1,98,11,98-11,recent_last600_best_3,36.2000008,98-21,98-22,98-21,18.5469704,7393.39453,
1,98,12,98-12,trainer_history_top3_excess,-0.0132743698,98-23,98-24,98-23,19.8988018,1855.2561,
1,98,13,98-13,current_weight_change_pct,0.0170940179,98-25,98-26,98-25,12.3263159,6121.30469,
1,98,14,98-14,jockey_trainer_history_smoothed_top3_rate_gap_to_best,0.193979934,98-27,98-28,98-28,26.1132545,3962.50659,
