feature,permutation_scope,auc_drop_mean,auc_drop_sd,top3_hit_drop_mean,top3_hit_drop_sd,top3_mrr_drop_mean,top3_mrr_drop_sd
recent_2_distance_m,within-race,0.00023377068161349878,0.00012265014310376668,0.0007092198581559739,0.0009456264775413724,-0.0008299646242908798,0.0004673519262871143
recent_3_barrier,within-race,-9.34988822836047e-06,0.0001590980776326245,0.0007092198581559739,0.001205441965388367,-0.0009888568221901983,0.00028157491636763497
historical_implied_probability_weighted_3,within-race,0.0006076798255350901,0.00031999592965527827,0.00047281323877068626,0.0027569512505178765,0.0006078574695595918,0.0007562521163483462
class_step_up,within-race,-7.100616074016131e-05,1.2305896486131554e-05,0.00047281323877068626,0.0005790755893104448,3.668907924226916e-05,5.168895768334281e-05
recent_same_track_runs,within-race,-1.5152308522492496e-05,7.910453008115552e-05,0.00047281323877068626,0.0005790755893104448,-0.0007382078126759395,0.0003193176541727206
distance_step_down_m,within-race,4.963441665317703e-06,9.831125568879557e-06,0.00047281323877067515,0.0005790755893104312,0.00017053343294477498,9.05561778331395e-05
recent_1_weight_kg,within-race,0.000266594624878258,0.00056407985701832,0.00047281323877066404,0.0005790755893104177,0.001672775608945798,0.0007521281807664174
horse_jockey_win_rate_rank,within-race,-1.4652920348989795e-05,0.00013019133272884533,0.00047281323877066404,0.0012054419653883648,0.00038817762222016495,0.0006592384132591297
recent_same_condition_runs,within-race,8.589930780491528e-05,9.795594084456337e-05,0.00047281323877066404,0.0005790755893104177,0.0003451349018725014,0.00011521277944411421
second_up_starts,within-race,2.4143076168248177e-05,4.698409156245225e-05,0.00047281323877066404,0.0005790755893104177,0.00021670606776988955,8.721805997312955e-05
recent_1_place,within-race,0.0001831837111214485,6.54204998228231e-05,0.00047281323877066404,0.0005790755893104177,-4.906375473754387e-05,0.0004787032719055117
current_form_strength_gap_to_best,within-race,-4.762485260776383e-05,0.0005930608327314237,0.00047281323877066404,0.0009456264775413559,-0.0001450001272696677,0.0009651645796742095
recent_4_starting_price,within-race,0.001136130044075423,0.0004884462608685306,0.00047281323877066404,0.0024339551160725685,-0.0005745843334496126,0.0012034634925856217
recent_finish_percentile_weighted_6_rank_in_race,within-race,0.0024190582980101903,0.0005431254052098253,0.000472813238770653,0.005048263948950979,0.0013898722763970527,0.0035390165745615137
hidden_sectional_run_best_3_zscore_in_race,within-race,0.00025000225024007783,0.00022990020550114069,0.000472813238770653,0.001769105147410829,0.0009353071409808677,0.0006049492848129208
recent_3_place,within-race,0.00014837958052624778,0.00010373532538961112,0.000472813238770653,0.0012054419653883583,0.00011421465322174474,0.0002751295471610964
recent_margin_std_6,within-race,0.00048011898215662987,9.514389033911176e-05,0.000472813238770653,0.002060945126969609,-0.00015553201723415012,0.0013336781402554872
recent_avg_margin_3,within-race,-0.00014418821125847803,0.00013940605272995423,0.000472813238770653,0.0012054419653883583,-0.0002590665179317608,0.0008206157262550924
recent_market_edge_rank,within-race,-3.565521081516643e-05,0.0001048929142263516,0.000472813238770653,0.001603387702866473,-0.0003367974289960274,0.0007622371766746437
recent_4_barrier,within-race,9.348246521123649e-05,7.50862397425741e-05,0.000472813238770653,0.001603387702866473,-0.0005383656270181003,0.00026973978347998826
recent_weighted_avg_margin_rank,within-race,0.0029049373309724125,0.001315969924947909,0.00047281323877064186,0.004067293270469351,0.002663881954662084,0.003422501986712125
jockey_trainer_history_smoothed_top3_rate,within-race,0.0014244379220731851,0.0004860377940715685,0.00047281323877064186,0.0012054419653883626,0.0002158184604992841,0.001179684307091875
historical_market_overperformance_weighted_3_zscore_in_race,within-race,-2.137703513387379e-05,4.7252561960852324e-05,0.00047281323877064186,0.000945626477541367,-6.081585868816797e-05,0.0003271912103235602
recent_3_weight_kg,within-race,0.0001295297107414939,0.0002070960372823026,0.00047281323877064186,0.0016033877028664928,-0.00039756998976858693,0.001291899385704119
trainer_recent_top3_excess,within-race,6.22015443158208e-05,0.00020441635416753462,0.00047281323877064186,0.001920576454996681,-0.0018080245207905076,0.0009977314813193628
jockey_trainer_history_runs,within-race,-5.6943380929652676e-05,0.0001422709647922618,0.00047281323877063075,0.0014184397163120588,0.0003116098506169007,0.0007151450280592862
margin_quality_average_6,within-race,3.871006896758455e-05,4.1686121263605664e-05,0.00023640661938534313,0.0004728132387706862,0.000350541893095091,0.00023524876817464439
distance_step_up_m,within-race,2.0287312251854318e-05,3.8261940662424484e-05,0.00023640661938534313,0.00047281323877068626,-4.3520309477751426e-05,0.0002820815696430676
similar_distance_margin_quality_weighted,within-race,-2.8035962023342798e-05,0.00026889369584530973,0.00023640661938534313,0.0004728132387706862,-5.019212466024214e-05,0.000545641187741192
second_best_run_recency_index,within-race,3.355683079666605e-05,0.00012459202159213759,0.00023640661938533202,0.00156814410891507,0.0005723223453719672,0.00043487128125670784
recent_finish_percentile_best_3,within-race,3.141766990608641e-05,3.361501367999942e-05,0.00023640661938533202,0.0004728132387706641,-0.00017073811400051265,0.0003928217319179824
current_class_level,race-block,0.0001186830712360365,0.00012618704109760036,0.00023640661938533202,0.00047281323877066404,-0.0004898188231521993,0.0006500382178056354
recent_2_weight_kg,within-race,0.00011069794461244786,0.00011030235253715214,0.00023640661938533202,0.0004728132387706641,-0.0017337252975551,0.0004301282400977682
