feature,coverage,mean_composite_delta,median_composite_delta,worst_composite_delta,best_composite_delta,positive_folds,nonnegative_folds,alpha_sign_consistency,mean_alpha,mean_absolute_alpha,stable_candidate
form_same_distance_margin_weighted,0.9254392603090301,-0.0012244955930183154,-0.0008340232510889445,-0.005221858371981969,0.0033938686946990426,2,2,5,-0.19578517431093392,0.19578517431093392,False
form_margin_weighted_6,0.9820305727926911,-0.0013319847233387305,-0.0020754720798120685,-0.008209116764083868,0.004324594405995641,2,2,5,-0.22554505707878278,0.22554505707878278,False
recent_weighted_avg_place,0.9820305727926911,-0.001352275677529713,-0.001733563942236449,-0.003760901200924094,0.0007424030760355693,2,2,5,-0.18723862262891922,0.18723862262891922,False
recent_weighted_avg_place_rank,0.9820305727926911,-0.001352275677529713,-0.001733563942236449,-0.003760901200924094,0.0007424030760355693,2,2,5,-0.18723862262891922,0.18723862262891922,False
recent_avg_margin,0.9820305727926911,-0.0016670918574067217,-0.002165511419684907,-0.005458653526417057,0.00304974139093106,2,2,5,-0.21868703702628162,0.21868703702628162,False
dry_rating,0.9989267876553062,-0.0018265393775463545,-0.002098591549295703,-0.003286904050370132,0.0007538574964786049,1,1,5,0.213848967582787,0.213848967582787,False
wet_rating,0.9989267876553062,-0.0018265393775463545,-0.002098591549295703,-0.003286904050370132,0.0007538574964786049,1,1,5,0.213848967582787,0.213848967582787,False
dry_rating_rank,0.9989267876553062,-0.0018265393775463545,-0.002098591549295703,-0.003286904050370132,0.0007538574964786049,1,1,5,-0.213848967582787,0.213848967582787,False
wet_rating_rank,0.9989267876553062,-0.0018265393775463545,-0.002098591549295703,-0.003286904050370132,0.0007538574964786049,1,1,5,-0.213848967582787,0.213848967582787,False
recent_finish_percentile_weighted,0.9509486921944441,-0.0019446353473887346,-0.0023821331666393775,-0.006230733395645727,0.0019241903227430468,2,2,5,0.19709485294564374,0.19709485294564374,False
recent_finish_percentile_rank,0.9509486921944441,-0.0019446353473887346,-0.0023821331666393775,-0.006230733395645727,0.0019241903227430468,2,2,5,-0.19709485294564374,0.19709485294564374,False
form_margin_scaled_weighted_6,0.9820305727926911,-0.002359975525362401,-0.0019003708932764374,-0.007355672614687281,0.00183028539552188,1,1,5,-0.2219076651498768,0.2219076651498768,False
form_finish_quality_weighted_6,0.9820030545274426,-0.002386792033082252,-0.001562970597585256,-0.006089084221378327,0.00029485554640618084,1,1,5,0.20837649504001526,0.20837649504001526,False
form_margin_scaled_weighted_3,0.9820305727926911,-0.0024916501187508544,-0.002384996992164101,-0.004905634126005309,0.0007392815660818286,1,1,5,-0.20327483912283734,0.20327483912283734,False
recent_avg_margin_3,0.9820305727926911,-0.0025128088943330964,-0.0023846126636454246,-0.00546156247006957,0.0014916607185955222,1,1,5,-0.2067663694876835,0.2067663694876835,False
form_margin_weighted_3,0.9820305727926911,-0.0025312727758413757,-0.003229763866363644,-0.0047717800985909165,-0.00022059665184315236,0,0,5,-0.20637655093362692,0.20637655093362692,False
form_finish_quality_weighted_3,0.981975536262194,-0.0027867898144351643,-0.0026335626687152836,-0.0059585658759175875,-0.0007636277453052509,0,0,5,0.20744668974874977,0.20744668974874977,False
recent_avg_place_3,0.9820305727926911,-0.0028939189582826153,-0.0027458131365692973,-0.006019325456939062,3.7708615698961445e-05,1,1,5,-0.17839536551229201,0.17839536551229201,False
