feature,coverage,mean_composite_delta,median_composite_delta,worst_composite_delta,best_composite_delta,positive_folds,nonnegative_folds,alpha_sign_consistency,mean_alpha,mean_absolute_alpha,stable_candidate
trainer_history_top3_excess,0.9621073487527346,-0.00048134856080403465,0.00023614416150202766,-0.002931514084830722,0.0016118054776155244,5,5,8,0.11584243632202425,0.11584243632202425,False
recent_1_weight_kg,0.8643762297224783,-0.0005058550495461167,-0.0006229938806019963,-0.002075322212944375,0.0019007668439569025,1,1,8,0.006795060604475864,0.006795060604475864,False
recent_6_weight_kg,0.6855625421373437,-0.0005083445061002528,-0.00039622367524183577,-0.0024684585836955986,0.0010225790190454553,1,1,6,0.003061111488502693,0.004410231209850632,False
first_up_win_rate_rank,0.9510450061228141,-0.0005214403778270593,-0.0007925206256289563,-0.0018327223731520181,0.0009996415264084124,3,3,7,-0.01866479438207412,0.019036050527367142,False
horse_jockey_win_rate_rank,0.5087989653132267,-0.000539388718896805,-0.0002932869846998254,-0.002019943480470743,0.0008829942563020055,3,3,8,-0.05820945598572289,0.05820945598572289,False
distance_win_rate_rank,0.7199190963001693,-0.0005418775630315203,0.00022538077776462773,-0.002969502191600193,0.0006167724993320078,5,5,8,-0.05249644693527353,0.05249644693527353,False
recent_5_track_status_value,0.4252947894164752,-0.0005572579028065155,-0.00024281905543033222,-0.0023354510690757335,0.0014257738896145122,3,4,6,-0.007156663964929,0.007629471054253957,False
recent_1_margin,0.9820305727926911,-0.0005581041886999066,-7.726853792133781e-05,-0.005834137194260847,0.0032894032668886464,4,4,8,-0.15402443363510127,0.15402443363510127,False
recent_avg_weight_kg,0.9509624513270684,-0.0005751385552633798,-0.0003684302552904306,-0.0023566829698109526,0.0007978858038169001,4,4,4,0.003220748925865504,0.007202760007847684,False
recent_3_place,0.9240358287813536,-0.0006089344449550088,-0.00024298522828597457,-0.003870190161639475,0.001653339140838761,4,4,8,-0.10134801245710193,0.10134801245710193,False
jockey_history_starts,0.9892128400225649,-0.000625604553307707,-0.0010121350051129907,-0.0030773324998638607,0.0022574478047450164,2,2,8,0.06973098449748179,0.06973098449748179,False
recent_5_total_runners,0.8519379738301297,-0.0006953449644906406,-0.0007998985357418609,-0.0021085157819044076,0.001713639461602967,2,2,4,-0.0015927619009975667,0.002540392982071604,False
recent_4_total_runners,0.8886610988043314,-0.0006988970430425318,-0.00021639114080312938,-0.00421176600671147,0.0009810994725849564,3,3,8,0.026935840374074847,0.026935840374074847,False
jockey_history_top3_excess,0.9892128400225649,-0.0007549546005893026,-0.00020284754190291743,-0.0056598128319991226,0.0010026238983901203,4,4,8,0.0914513377136692,0.0914513377136692,False
sectional_last600_std_6,0.7786568334732179,-0.000760285815238293,-0.0007877656935240673,-0.0020371832398943246,0.0008990544429910985,1,1,6,-0.008940609792061405,0.010735010638983154,False
recent_5_margin,0.8519379738301297,-0.0007785646256668749,-0.00047208088890715594,-0.004213279815304394,0.002905241877263265,3,3,8,-0.054086812875834556,0.054086812875834556,False
recent_5_weight_kg,0.7160527800327467,-0.0008120519198956122,-0.00031711271763940063,-0.0032734613692664283,0.0005807818428792411,3,3,8,-0.011786272478843878,0.011786272478843878,False
jockey_recent_top3_excess,0.9892128400225649,-0.0009060407992686065,-0.0005218361591630138,-0.004500252814600314,0.0001572769953052111,2,2,8,0.06260585879392011,0.06260585879392011,False
