feature,permutation_scope,auc_drop_mean,auc_drop_sd,top1_drop_mean,top1_drop_sd,mrr_drop_mean,mrr_drop_sd,race_logloss_increase_mean,race_logloss_increase_sd,winner_rank_increase_mean,winner_rank_increase_sd
weight_kg,within-race,-0.000878001297858555,0.00058593653435052,0.001999999999999999,0.002666666666666666,-0.00024201539201539334,0.0006990579728660666,-0.0020231265934004482,0.0008080586580820198,-0.011333333333333685,0.008326663997864638
class_adjusted_finish_percentile_weighted_3_minus_race_median,within-race,4.9751243780704614e-06,0.0005401339924346148,0.001999999999999996,0.001632993161855449,-0.0002585932585932538,0.0013297723820530555,0.00023184137307472597,0.0010681907513124056,0.001333333333333009,0.015577761927397316
soft_starts,within-race,8.176508760540102e-05,9.836648972959914e-05,0.0,0.0,-0.000267748917748889,0.0005230502582111726,0.00021389096923396522,0.00016635184667710627,-0.0013333333333337195,0.00618241233033044
best_run_recency_index,within-race,0.00045446679645244625,0.00010345487544905335,0.0,0.0,-0.0002687349687349516,0.0001591398541769008,0.0008011083985342005,0.0003359423913345641,0.0033333333333327884,0.005163977794942998
jockey_trainer_history_runs,within-race,0.0006532554618213559,0.0005423520141414737,-0.000666666666666671,0.0024944382578492956,-0.0002826673326672968,0.0011652437851836942,0.001575825867534153,0.0009211925564253405,0.022666666666666124,0.014204850501774955
recent_1_distance_m,within-race,-0.0004103396063162679,0.0002525073380749201,0.001333333333333331,0.001632993161855449,-0.000285865985865974,0.0008866976839496438,-0.0008819273763542412,0.000493445210667261,0.006666666666666288,0.006992058987800918
margin_quality_ceiling_6,within-race,-4.153147306944494e-05,0.00017680143735572854,0.0,0.0,-0.0003082010582010519,0.00019115655971976717,-1.2655488559421002e-05,0.00039886832958113845,-0.005333333333333634,0.0016329931618552724
recent_6_total_runners,within-race,0.0004457062513519183,0.0003855490665837977,-0.000666666666666671,0.003887301263230204,-0.0003231971731971539,0.0017013171460100482,-8.243493289317172e-06,0.0006481348617779645,0.0346666666666664,0.011274356350191967
jockey_trainer_history_top3,within-race,0.0001907852044127134,0.0007691135414949924,-2.7755575615628915e-18,0.0036514837167011104,-0.00033367003367001935,0.00319429730986215,-8.686867103442353e-05,0.0013158287184714642,0.006666666666666288,0.0338624669312008
recent_margin_avg_3,within-race,-0.00013454466796456455,5.9296497396704075e-05,0.0,0.0,-0.0003516354016353751,0.0002500122838350701,-0.0005941527775730649,0.0002274023377369789,-0.0033333333333336766,0.005577733510227405
recent_2_barrier,within-race,-0.0005310404499243137,0.0004989699235364549,-0.0013333333333333363,0.004521553322083514,-0.0003572520072519736,0.0023187576215030086,-0.001167353351239253,0.0011878124691477518,0.014666666666666116,0.015143755588800689
track_win_rate_rank,within-race,-0.00040276876487135296,0.00028331756008426765,0.0,0.0,-0.0003961279461279221,0.0003461981489696715,-0.0004763247084688338,0.0007437931131165773,0.006666666666666288,0.004714045207910174
track_starts,within-race,0.0002926670992861258,9.400046495018711e-05,-0.0020000000000000018,0.002666666666666668,-0.00045519480519480294,0.001177708516759795,0.0004204246215480545,0.00020848826116548198,0.009333333333333017,0.008273115763993838
current_class_level,race-block,0.000137140385031298,0.00016870275051703758,0.0,0.0,-0.00047623672623671177,0.0003787684999858436,8.838675029130272e-05,0.0003252371280487869,0.011333333333332973,0.009797958971132418
good_wins,within-race,-0.0002738481505516033,0.00027183381133787923,0.0,0.0,-0.0004854497354497167,0.0003299748928557762,-0.00039567113916039176,0.00047088597643636697,-0.005333333333333634,0.00541602560309081
age,within-race,0.0001884057971013986,8.207922058909091e-05,-0.0020000000000000044,0.0016329931618554558,-0.0004886724386724217,0.0008761369079301543,0.00037308948714418475,0.00013957703087101716,0.01599999999999966,0.00646357314322194
recent_finish_percentile_weighted_6_rank_in_race,within-race,0.0003188405797101224,0.0002503535694306754,-0.0006666666666666682,0.0013333333333333363,-0.0005119047619047467,0.0008935879822923941,0.0005216328434179296,0.0005315500962307077,-0.0006666666666671261,0.005734883511361781
class_adjusted_finish_percentile_weighted_3_rank_in_race,within-race,5.1481721825608065e-05,5.572485253998562e-05,0.0,0.0,-0.0005576719576719569,0.00028065853165057684,8.450544674838411e-05,8.39518128172959e-05,-0.011333333333333862,0.00541602560309081
last3_place_percentage_rank,within-race,-8.652390222807505e-06,2.8377004020964767e-05,-0.0013333333333333363,0.0016329931618554558,-0.0005919913419913048,0.0007519197692155475,-2.6287598671359547e-05,5.389398362210764e-05,0.007999999999999475,0.006863753427324791
