model,member,importance_type,feature,value
a0,1,cover,recent_finish_percentile_slope_6,1180.12890625
a0,1,cover,recent_finish_percentile_last_minus_avg3,144.51222229003906
a0,1,cover,recent_finish_percentile_avg3_minus_avg6,711.2693481445312
a0,1,cover,recent_margin_avg_6,982.1863403320312
a0,1,cover,recent_margin_best_3,826.0188598632812
a0,1,cover,recent_margin_quality_slope_3,3441.158203125
a0,1,cover,historical_market_overperformance_last1,2074.328857421875
a0,1,cover,historical_market_overperformance_best_3,1004.3894653320312
a0,1,cover,historical_market_overperformance_slope_3,1485.960693359375
a0,1,cover,historical_implied_probability_weighted_6,623.1187133789062
a0,1,cover,distance_minus_recent_weighted_avg,4786.00830078125
a0,1,cover,similar_distance_finish_percentile_weighted,85.6803207397461
a0,1,cover,similar_distance_top3_rate,600.3364868164062
a0,1,cover,distance_step_down_pct,2324.539794921875
a0,1,cover,recent_barrier_percentile_avg_3,2068.5458984375
a0,1,cover,recent_barrier_percentile_std_6,2652.931640625
a0,1,cover,current_barrier_percentile,1132.8271484375
a0,1,cover,current_weight_change_pct,2845.742431640625
a0,1,cover,margin_quality_consistency_6,1663.8388671875
a0,1,cover,recent3_vs_career_place_rate,5170.46826171875
a0,1,cover,same_track_finish_percentile,1961.59228515625
a0,1,cover,same_track_distance_finish_percentile,706.8440551757812
a0,1,cover,same_track_distance_margin_quality,518.3961181640625
a0,1,cover,condition_finish_percentile,2322.06298828125
a0,1,cover,condition_margin_quality,650.9595947265625
a0,1,cover,recent_last600_avg_3,497.7767333984375
a0,1,cover,recent_last600_avg_6,997.4923706054688
a0,1,cover,recent_last600_weighted_3,3693.687255859375
a0,1,cover,recent_last600_weighted_6,2867.6240234375
a0,1,cover,recent_last600_best_3,241.65670776367188
a0,1,cover,recent_last600_slope_3,761.299560546875
a0,1,cover,recent_last600_slope_6,970.8582153320312
a0,1,cover,historical_run_quality_avg_3,149.17047119140625
a0,1,cover,historical_run_quality_slope_3,291.2890319824219
a0,1,cover,hidden_sectional_run_avg_3,1866.0987548828125
a0,1,cover,sectional_ceiling_6,5413.2998046875
a0,1,cover,sectional_average_6,859.7178955078125
a0,1,cover,recent_class_avg_3,1071.7176513671875
a0,1,cover,recent_class_weighted_6,870.658203125
a0,1,cover,class_adjusted_finish_percentile_last1,4771.95703125
a0,1,cover,class_adjusted_finish_percentile_weighted_3,648.1036987304688
a0,1,cover,jockey_trainer_history_smoothed_top3_rate,552.2814331054688
a0,1,cover,jockey_trainer_history_win_excess,307.0281066894531
a0,1,cover,jockey_trainer_synergy,550.1945190429688
a0,1,cover,recent_finish_percentile_weighted_3_minus_race_mean,744.0621948242188
a0,1,cover,recent_finish_percentile_weighted_3_minus_race_median,929.5614013671875
a0,1,cover,recent_finish_percentile_weighted_3_gap_to_best,1905.8812255859375
a0,1,cover,recent_finish_percentile_weighted_6_minus_race_mean,1709.864013671875
a0,1,cover,recent_finish_percentile_weighted_6_minus_race_median,51.0941047668457
a0,1,cover,recent_finish_percentile_weighted_6_zscore_in_race,1650.2421875
a0,1,cover,recent_finish_percentile_weighted_6_gap_to_best,220.52883911132812
a0,1,cover,recent_margin_quality_weighted_3_rank_in_race,3659.95947265625
a0,1,cover,recent_margin_quality_weighted_3_pct_in_race,611.2323608398438
a0,1,cover,recent_margin_quality_weighted_3_minus_race_mean,282.4082336425781
a0,1,cover,recent_margin_quality_weighted_3_minus_race_median,2575.879638671875
a0,1,cover,recent_margin_quality_weighted_3_zscore_in_race,338.85699462890625
a0,1,cover,historical_market_overperformance_weighted_3_rank_in_race,362.8387451171875
a0,1,cover,historical_market_overperformance_weighted_3_minus_race_median,749.393798828125
a0,1,cover,historical_market_overperformance_weighted_3_zscore_in_race,951.1376953125
